"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 04 11:39:39 GMT 2024","Sat May 04 11:39:39 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_za",""
"broken","Sat May 04 11:39:44 GMT 2024","Sat May 04 11:39:44 GMT 2024","0","Tests.test_lesson_2","test_registration","","","","test_registration_with_checkbox",""
"broken","Sat May 04 11:39:39 GMT 2024","Sat May 04 11:39:39 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_az",""
"broken","Sat May 04 11:39:39 GMT 2024","Sat May 04 11:39:39 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_low_to_high_v1",""
"broken","Sat May 04 11:39:44 GMT 2024","Sat May 04 11:39:44 GMT 2024","0","Tests.test_lesson_3","test_click_page","TestButton","","","test_double_click",""
"broken","Sat May 04 11:39:35 GMT 2024","Sat May 04 11:39:35 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product[add_to_cart_locator2-3]",""
"broken","Sat May 04 11:39:38 GMT 2024","Sat May 04 11:39:38 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_go_to_catalogue",""
"broken","Sat May 04 11:39:41 GMT 2024","Sat May 04 11:39:41 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_by_price[value0]",""
"broken","Sat May 04 11:39:32 GMT 2024","Sat May 04 11:39:32 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator5-remove_cart_locator5]",""
"broken","Sat May 04 11:39:36 GMT 2024","Sat May 04 11:39:36 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product[add_to_cart_locator5-6]",""
"broken","Sat May 04 11:39:34 GMT 2024","Sat May 04 11:39:34 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator5-remove_cart_locator5]",""
"broken","Sat May 04 11:39:37 GMT 2024","Sat May 04 11:39:37 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name2]",""
"broken","Sat May 04 11:39:42 GMT 2024","Sat May 04 11:39:42 GMT 2024","0","Tests.test_lesson_1","test_login","TestLogin","","","test_login_success",""
"broken","Sat May 04 11:39:44 GMT 2024","Sat May 04 11:39:44 GMT 2024","0","Tests.test_lesson_1","test_product","TestProduct","","","test_open_product_image_click",""
"broken","Sat May 04 11:39:42 GMT 2024","Sat May 04 11:39:42 GMT 2024","0","Tests.test_lesson_1","test_login","TestLogin","","","test_login_fail",""
"broken","Sat May 04 11:39:34 GMT 2024","Sat May 04 11:39:34 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product[add_to_cart_locator0-1]",""
"broken","Sat May 04 11:39:38 GMT 2024","Sat May 04 11:39:38 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_logout",""
"broken","Sat May 04 11:39:38 GMT 2024","Sat May 04 11:39:38 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name5]",""
"broken","Sat May 04 11:39:37 GMT 2024","Sat May 04 11:39:37 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name3]",""
"broken","Sat May 04 11:39:33 GMT 2024","Sat May 04 11:39:33 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator3-remove_cart_locator3]",""
"broken","Sat May 04 11:39:44 GMT 2024","Sat May 04 11:39:44 GMT 2024","0","Tests.test_lesson_1","test_product","TestProduct","","","test_open_product_title_click",""
"broken","Sat May 04 11:39:33 GMT 2024","Sat May 04 11:39:33 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator2-remove_cart_locator2]",""
"broken","Sat May 04 11:39:43 GMT 2024","Sat May 04 11:39:43 GMT 2024","0","Tests.test_lesson_1","test_product","TestProduct","","","test_add_to_cart_product_page",""
"broken","Sat May 04 11:39:33 GMT 2024","Sat May 04 11:39:33 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator4-remove_cart_locator4]",""
"broken","Sat May 04 11:39:30 GMT 2024","Sat May 04 11:39:30 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator1-remove_cart_locator1]",""
"broken","Sat May 04 11:39:35 GMT 2024","Sat May 04 11:39:35 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product[add_to_cart_locator3-4]",""
"broken","Sat May 04 11:39:36 GMT 2024","Sat May 04 11:39:36 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name0]",""
"broken","Sat May 04 11:39:41 GMT 2024","Sat May 04 11:39:41 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_by_price[value1]",""
"broken","Sat May 04 11:39:43 GMT 2024","Sat May 04 11:39:43 GMT 2024","0","Tests.test_lesson_1","test_login","TestLogin","","","test",""
"broken","Sat May 04 11:39:20 GMT 2024","Sat May 04 11:39:20 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator0-remove_cart_locator0]",""
"broken","Sat May 04 11:39:42 GMT 2024","Sat May 04 11:39:42 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_by_name[value1]",""
"broken","Sat May 04 11:39:36 GMT 2024","Sat May 04 11:39:36 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name1]",""
"broken","Sat May 04 11:39:40 GMT 2024","Sat May 04 11:39:40 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_low_to_high_v2",""
"broken","Sat May 04 11:39:45 GMT 2024","Sat May 04 11:39:45 GMT 2024","0","Tests.test_lesson_3","test_drag_and_drop","TestDragDrop","","","test_drag_drop",""
"broken","Sat May 04 11:39:45 GMT 2024","Sat May 04 11:39:45 GMT 2024","0","Tests.test_lesson_3","test_click_page","TestButton","","","test_right_click",""
"broken","Sat May 04 11:39:31 GMT 2024","Sat May 04 11:39:31 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator2-remove_cart_locator2]",""
"broken","Sat May 04 11:39:31 GMT 2024","Sat May 04 11:39:31 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator3-remove_cart_locator3]",""
"broken","Sat May 04 11:39:41 GMT 2024","Sat May 04 11:39:41 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_by_name[value0]",""
"broken","Sat May 04 11:39:32 GMT 2024","Sat May 04 11:39:32 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator0-remove_cart_locator0]",""
"broken","Sat May 04 11:39:43 GMT 2024","Sat May 04 11:39:43 GMT 2024","0","Tests.test_lesson_1","test_product","TestProduct","","","test_remove_from_cart_product_page",""
"broken","Sat May 04 11:39:32 GMT 2024","Sat May 04 11:39:32 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator1-remove_cart_locator1]",""
"broken","Sat May 04 11:39:40 GMT 2024","Sat May 04 11:39:40 GMT 2024","0","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_high_to_low_v1",""
"broken","Sat May 04 11:39:31 GMT 2024","Sat May 04 11:39:31 GMT 2024","0","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator4-remove_cart_locator4]",""
"broken","Sat May 04 11:39:37 GMT 2024","Sat May 04 11:39:37 GMT 2024","0","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name4]",""
